category,cumulative_weeks_in_top_10,weekly_hours_viewed,season_title,weekly_rank,show_title,date_added,week
Films (English),2,64700000,null,1,The Tinder Swindler,2022-02-15,2022-02-13
Films (Non-English),2,34700000,null,1,Through My Window,2022-02-15,2022-02-13
Films (English),12,6540000,null,6,Red Notice,2022-02-01,2022-01-30
TV (Non-English),10,11100000,"Newly Rich, Newly Poor: Season 1",6,"Newly Rich, Newly Poor",2022-01-04,2021-09-05
Films (Non-English),3,2350000,null,9,Dhamaka,2022-01-04,2021-12-05
Films (Non-English),1,7710000,null,2,The Hand of God,2022-01-04,2021-12-19
Films (Non-English),2,5140000,null,5,Mimi,2022-01-04,2021-08-08
TV (Non-English),3,19340000,Money Heist: Part 1,3,Money Heist,2022-01-04,2021-09-19
Films (Non-English),2,3720000,null,6,Earwig and the Witch,2022-01-04,2021-11-28
Films (English),4,5590000,null,9,Despicable Me,2022-03-01,2022-02-27
Films (Non-English),1,15210000,null,1,Lulli,2022-01-04,2022-01-02
Films (Non-English),1,2190000,null,10,Thoroughbred,2022-02-22,2022-02-20
Films (English),2,33060000,null,3,The Harder They Fall,2022-01-04,2021-11-14
TV (English),3,51600000,Outer Banks: Season 2,1,Outer Banks,2022-01-04,2021-08-15
TV (Non-English),7,29530000,The Queen of Flow: Season 2,2,The Queen of Flow,2022-01-04,2022-01-02
TV (Non-English),1,11700000,Elize Matsunaga: Once Upon a Crime: Season 1,6,Elize Matsunaga: Once Upon a Crime,2022-01-04,2021-07-11
TV (Non-English),1,18060000,Back to 15: Season 1,4,Back to 15,2022-03-09,2022-03-06
TV (English),2,36950000,Cowboy Bebop: Season 1,2,Cowboy Bebop,2022-01-04,2021-11-28
Films (English),11,7310000,null,8,Red Notice,2022-01-25,2022-01-23
Films (English),2,6790000,null,9,Nightbooks,2022-01-04,2021-09-26
Films (English),1,5600000,null,8,Bloodshot,2022-01-04,2021-10-31
TV (Non-English),13,13070000,The Queen of Flow: Season 2,7,The Queen of Flow,2022-02-15,2022-02-13
TV (English),1,14630000,The Cuphead Show!: Season 1,7,The Cuphead Show!,2022-02-22,2022-02-20
Films (Non-English),3,3630000,null,6,Mimi,2022-01-04,2021-08-15
Films (Non-English),1,1940000,null,7,Grudge,2022-01-04,2021-10-10
Films (English),1,14670000,null,7,Jack Reacher: Never Go Back,2022-01-04,2021-11-28
Films (English),1,9060000,null,8,Safe House,2022-01-04,2021-09-19
TV (Non-English),2,9720000,Luis Miguel - The Series: Season 3,8,Luis Miguel - The Series,2022-01-04,2021-11-07
Films (Non-English),1,1450000,null,10,Amores perros,2022-01-04,2021-09-19
TV (Non-English),4,18430000,My Name: Season 1,2,My Name,2022-01-04,2021-11-07
TV (Non-English),4,14070000,Carinha de Anjo: Season 1,6,Carinha de Anjo,2022-01-04,2021-10-31
TV (Non-English),5,8910000,The Chestnut Man: Season 1,10,The Chestnut Man,2022-01-04,2021-10-31
Films (English),2,6850000,null,8,Faster,2022-02-15,2022-02-13
TV (Non-English),4,24170000,The Cook of Castamar: Season 1,1,The Cook of Castamar,2022-01-04,2021-08-01
Films (Non-English),1,1900000,null,6,Nobody Sleeps in the Woods Tonight,2022-01-04,2021-10-31
TV (English),1,19570000,Big Mouth: Season 5,9,Big Mouth,2022-01-04,2021-11-07
TV (Non-English),1,16720000,Money Heist: Part 2,3,Money Heist,2022-01-04,2021-09-12
TV (Non-English),3,7710000,"Nevertheless,: Season 1",8,"Nevertheless,",2022-01-04,2021-08-01
Films (Non-English),1,4270000,null,6,UFO,2022-03-01,2022-02-27
Films (Non-English),3,4840000,null,3,My Father's Violin,2022-02-08,2022-02-06
TV (Non-English),1,38640000,The Queen of Flow: Season 2,2,The Queen of Flow,2022-01-04,2021-11-21
TV (Non-English),3,9020000,Valeria: Season 2,6,Valeria,2022-01-04,2021-08-29
TV (English),2,50290000,Narcos: Mexico: Season 3,1,Narcos: Mexico,2022-01-04,2021-11-14
Films (English),1,11770000,null,4,Gunpowder Milkshake,2022-01-04,2021-07-18
TV (English),3,15920000,Atypical: Season 4,7,Atypical,2022-01-04,2021-07-25
Films (English),7,6320000,null,9,Back to the Outback,2022-01-25,2022-01-23
TV (English),1,107640000,Emily in Paris: Season 2,2,Emily in Paris,2022-01-04,2021-12-26
TV (English),2,33020000,All American: Season 3,3,All American,2022-01-04,2021-08-08
TV (English),1,16890000,Lucifer: Season 5,6,Lucifer,2022-01-04,2021-07-04
Films (English),3,6190000,null,6,Fear Street Part 3: 1666,2022-01-04,2021-08-01
TV (English),2,58150000,Sweet Magnolias: Season 2,2,Sweet Magnolias,2022-02-15,2022-02-13
TV (English),3,18720000,Turning Point: 9/11 and the War on Terror: Season 1,5,Turning Point: 9/11 and the War on Terror,2022-01-04,2021-09-19
TV (English),1,15390000,One of Us Is Lying: Season 1,6,One of Us Is Lying,2022-02-22,2022-02-20
Films (English),1,6270000,null,9,Welcome Home Roscoe Jenkins,2022-01-04,2021-09-05
TV (English),3,15950000,Locke & Key: Season 1,10,Locke & Key,2022-01-04,2021-11-07
TV (Non-English),2,45930000,Juvenile Justice: Season 1,1,Juvenile Justice,2022-03-09,2022-03-06
Films (Non-English),7,930000,null,10,Rurouni Kenshin: The Beginning,2022-01-04,2021-09-26
TV (English),5,22150000,Clickbait: Limited Series,5,Clickbait,2022-01-04,2021-09-26
Films (Non-English),1,3590000,null,3,Shyam Singha Roy,2022-01-25,2022-01-23
TV (Non-English),2,14560000,Baki Hanma: Season 1,6,Baki Hanma,2022-01-04,2021-10-10
Films (Non-English),2,15080000,null,2,Rurouni Kenshin: The Beginning,2022-01-04,2021-08-08
Films (English),1,64760000,null,2,The Harder They Fall,2022-01-04,2021-11-07
TV (Non-English),1,18250000,Toy Boy: Season 1,5,Toy Boy,2022-02-15,2022-02-13
TV (English),4,39750000,Love Is Blind: Season 2,5,Love Is Blind,2022-03-09,2022-03-06
Films (English),1,15510000,null,3,My Little Pony: A New Generation,2022-01-04,2021-09-26
TV (English),3,11180000,For Life: Season 1,7,For Life,2022-01-04,2021-08-29
Films (English),2,17320000,null,3,Munich – The Edge of War,2022-02-01,2022-01-30
TV (English),6,18380000,Sex Education: Season 3,7,Sex Education,2022-01-04,2021-10-24
TV (Non-English),2,236230000,All of Us Are Dead: Season 1,1,All of Us Are Dead,2022-02-08,2022-02-06
Films (Non-English),1,7390000,null,1,Silver Skates,2022-01-04,2021-07-04
TV (English),2,105330000,Outer Banks: Season 2,1,Outer Banks,2022-01-04,2021-08-08
Films (English),3,6640000,null,6,The Loud House Movie,2022-01-04,2021-09-05
Films (Non-English),3,1460000,null,9,Bartkowiak,2022-01-04,2021-08-29
Films (Non-English),2,2780000,null,7,Prayers for the Stolen,2022-01-04,2021-11-28
TV (Non-English),6,22730000,Our Beloved Summer: Season 1,5,Our Beloved Summer,2022-02-01,2022-01-30
TV (English),2,14180000,Sharkdog: Season 1,9,Sharkdog,2022-01-04,2021-09-19
Films (Non-English),4,2640000,null,8,Yara,2022-01-04,2021-11-28
TV (English),1,16460000,Riverdale: Season 5,10,Riverdale,2022-02-01,2022-01-30
Films (English),1,11630000,null,5,The Water Man,2022-01-04,2021-07-18
Films (English),3,9860000,null,6,Resort to Love,2022-01-04,2021-08-15
TV (Non-English),3,12750000,Toy Boy: Season 1,5,Toy Boy,2022-03-01,2022-02-27
Films (Non-English),5,2630000,null,5,The Forgotten Battle,2022-01-04,2021-11-14
TV (Non-English),6,11590000,Hospital Playlist: Season 2,7,Hospital Playlist,2022-01-04,2021-09-12
Films (English),1,22860000,null,3,A California Christmas: City Lights,2022-01-04,2021-12-19
Films (English),1,6830000,null,10,Security,2022-01-04,2021-10-10
Films (Non-English),2,2990000,null,4,Invasion,2022-01-04,2021-09-12
TV (Non-English),4,18710000,Our Beloved Summer: Season 1,5,Our Beloved Summer,2022-01-18,2022-01-16
TV (Non-English),2,9740000,The King's Affection: Season 1,8,The King's Affection,2022-01-04,2021-10-31
TV (English),2,44800000,In From the Cold: Season 1,3,In From the Cold,2022-02-08,2022-02-06
Films (English),1,5780000,null,7,Army of the Dead,2022-01-04,2021-10-31
Films (English),3,50650000,null,1,Red Notice,2022-01-04,2021-11-28
TV (English),3,29880000,You: Season 1,6,You,2022-01-04,2021-10-31
Films (English),1,7650000,null,7,Heat,2022-01-04,2021-10-10
Films (English),13,4970000,null,10,Red Notice,2022-03-01,2022-02-27
Films (English),2,20130000,null,3,The Starling,2022-01-04,2021-10-03
Films (Non-English),4,3350000,null,8,Spoiled Brats,2022-01-04,2021-12-19
Films (Non-English),3,2460000,null,8,Just Short of Perfect,2022-01-04,2021-12-05
TV (English),3,30390000,Outer Banks: Season 1,3,Outer Banks,2022-01-04,2021-08-15
TV (Non-English),3,8170000,Money Heist: Part 2,10,Money Heist,2022-01-04,2021-12-12
TV (English),2,47820000,Dynasty: Season 4,4,Dynasty,2022-01-04,2021-10-31
Films (English),3,4960000,null,9,Man on Fire,2022-01-04,2021-10-03
TV (English),1,14020000,The Chair: Season 1,4,The Chair,2022-01-04,2021-08-29
Films (English),1,9150000,null,5,King Arthur: Legend of the Sword,2022-01-04,2021-10-31
Films (English),6,6960000,null,8,Vivo,2022-01-04,2021-09-12
TV (English),1,120060000,Cobra Kai: Season 4,1,Cobra Kai,2022-01-04,2022-01-02
Films (Non-English),3,13300000,null,3,Blood Red Sky,2022-01-04,2021-08-08
Films (Non-English),1,1280000,null,9,O Candidato Honesto,2022-01-04,2021-07-11
Films (English),2,8510000,null,10,The Christmas Chronicles,2022-01-04,2021-12-12
Films (English),1,8980000,null,7,After We Fell,2022-01-25,2022-01-23
TV (Non-English),12,15050000,The Queen of Flow: Season 2,8,The Queen of Flow,2022-02-08,2022-02-06
Films (English),1,11690000,null,6,21 Jump Street,2022-01-04,2021-11-07
TV (Non-English),13,11860000,Carinha de Anjo: Season 1,9,Carinha de Anjo,2022-01-18,2022-01-16
TV (English),5,9260000,CoComelon: Season 4,9,CoComelon,2022-01-04,2021-12-26
Films (Non-English),3,1780000,null,10,Silver Skates,2022-01-04,2021-07-18
Films (English),4,9240000,null,6,Fear Street Part 1: 1994,2022-01-04,2021-07-25
Films (Non-English),4,2120000,null,7,Confessions of an Invisible Girl,2022-01-04,2021-10-17
Films (English),3,5840000,null,7,Twilight,2022-01-04,2021-08-01
Films (Non-English),4,1440000,null,10,Shiny_Flakes: The Teenage Drug Lord,2022-01-04,2021-08-29
TV (English),1,21780000,Love Is Blind: Season 2,7,Love Is Blind,2022-02-15,2022-02-13
TV (English),3,16550000,One of Us Is Lying: Season 1,6,One of Us Is Lying,2022-03-09,2022-03-06
TV (Non-English),1,11470000,Summer Heat: Season 1,8,Summer Heat,2022-02-01,2022-01-30
Films (Non-English),3,5780000,null,3,Stuck Together,2022-01-04,2021-11-07
TV (Non-English),3,12270000,Money Heist: Part 4,6,Money Heist,2022-01-04,2021-09-19
TV (English),3,11960000,Lost in Space: Season 1,6,Lost in Space,2022-01-04,2021-12-19
Films (Non-English),1,2690000,null,7,Murder by the Coast,2022-01-04,2021-07-04
TV (Non-English),1,14360000,Boruto: Naruto Next Generations: Season 1,9,Boruto: Naruto Next Generations,2022-02-08,2022-02-06
Films (English),3,26600000,null,2,The Unforgivable,2022-01-04,2021-12-26
TV (Non-English),9,32540000,Café con aroma de mujer: Season 1,2,Café con aroma de mujer,2022-03-01,2022-02-27
Films (Non-English),4,2340000,null,9,Mimi,2022-01-04,2021-08-22
Films (Non-English),2,8110000,null,3,Bigbug,2022-02-22,2022-02-20
Films (English),1,5800000,null,7,Redemption,2022-01-04,2021-10-17
Films (English),1,9200000,null,7,Mother's Day,2022-01-04,2021-07-11
Films (Non-English),1,35930000,null,1,Blood Red Sky,2022-01-04,2021-07-25
TV (Non-English),3,7470000,Too Hot to Handle: Brazil: Season 1,10,Too Hot to Handle: Brazil,2022-01-04,2021-08-08
Films (English),1,18260000,null,3,The Lost Daughter,2022-01-04,2022-01-02
Films (Non-English),1,2060000,null,10,Luccas Neto in: The Magical Hotel 2,2022-02-15,2022-02-13
Films (Non-English),2,6000000,null,3,Two,2022-01-04,2021-12-19
TV (English),1,13170000,Gabby's Dollhouse: Season 2,8,Gabby's Dollhouse,2022-01-04,2021-08-15
Films (English),1,7780000,null,7,Shrek,2022-03-09,2022-03-06
Films (Non-English),2,2940000,null,7,The Hand of God,2022-01-04,2021-12-26
Films (Non-English),1,9110000,null,3,David and the Elves,2022-01-04,2021-12-12
TV (English),3,54420000,Clickbait: Limited Series,2,Clickbait,2022-01-04,2021-09-12
TV (English),2,76540000,Clickbait: Limited Series,1,Clickbait,2022-01-04,2021-09-05
TV (Non-English),18,11780000,Squid Game: Season 1,10,Squid Game,2022-01-18,2022-01-16
TV (English),3,27540000,Narcos: Mexico: Season 3,3,Narcos: Mexico,2022-01-04,2021-11-21
Films (English),1,16670000,null,2,The Starling,2022-01-04,2021-09-26
Films (Non-English),1,16120000,null,2,The Last Mercenary,2022-01-04,2021-08-01
Films (English),1,7490000,null,8,Passing,2022-01-04,2021-11-14
Films (Non-English),2,4610000,null,4,Chandigarh Kare Aashiqui,2022-01-18,2022-01-16
TV (English),5,18240000,Emily in Paris: Season 2,10,Emily in Paris,2022-01-25,2022-01-23
Films (English),2,5200000,null,9,The Twilight Saga: Breaking Dawn: Part 2,2022-01-04,2021-08-01
Films (Non-English),1,8820000,null,3,How I Became a Superhero,2022-01-04,2021-07-11
TV (Non-English),9,11720000,Carinha de Anjo: Season 1,9,Carinha de Anjo,2022-01-04,2021-12-05
Films (English),2,24510000,null,2,My Little Pony: A New Generation,2022-01-04,2021-10-03
TV (Non-English),5,15480000,The Snitch Cartel: Origins: Season 1,1,The Snitch Cartel: Origins,2022-01-04,2021-08-29
Films (Non-English),1,1450000,null,10,Freaks – You're One of Us,2022-01-04,2021-10-03
Films (English),1,14680000,null,4,The Marksman,2022-01-04,2021-09-19
TV (English),5,56700000,Maid: Limited Series,2,Maid,2022-01-04,2021-10-31
TV (Non-English),14,11420000,The Queen of Flow: Season 2,9,The Queen of Flow,2022-02-22,2022-02-20
TV (English),2,98140000,Lucifer: Season 6,2,Lucifer,2022-01-04,2021-09-19
TV (Non-English),6,9730000,Money Heist: Part 5,9,Money Heist,2022-01-04,2021-10-10
Films (English),1,5350000,null,6,Unfaithful,2022-01-04,2021-10-24
TV (Non-English),1,9450000,Too Hot to Handle: Brazil: Season 1,6,Too Hot to Handle: Brazil,2022-01-04,2021-07-25
Films (Non-English),1,2710000,null,8,Parallel Roads,2022-02-22,2022-02-20
Films (English),2,16910000,null,4,The Loud House Movie,2022-01-04,2021-08-29
Films (English),1,8250000,null,10,The Twilight Saga: Breaking Dawn: Part 1,2022-01-04,2021-07-25
TV (English),2,70980000,Archive 81: Season 1,2,Archive 81,2022-01-25,2022-01-23
Films (Non-English),1,2940000,null,6,Meskina,2022-03-09,2022-03-06
TV (Non-English),4,7960000,"Nevertheless,: Season 1",9,"Nevertheless,",2022-01-04,2021-08-08
Films (Non-English),2,2800000,Navarasa: Volume 1,9,Navarasa,2022-01-04,2021-08-15
Films (English),3,13370000,null,4,My Little Pony: A New Generation,2022-01-04,2021-10-10
Films (Non-English),3,1740000,null,7,Photocopier,2022-02-01,2022-01-30
TV (English),2,45190000,Hit & Run: Season 1,2,Hit & Run,2022-01-04,2021-08-15
TV (English),1,24720000,In From the Cold: Season 1,6,In From the Cold,2022-02-01,2022-01-30
TV (English),1,37580000,Good Girls: Season 4,2,Good Girls,2022-01-04,2021-09-05
Films (Non-English),1,6150000,null,3,How I Fell in Love with a Gangster,2022-01-11,2022-01-09
Films (Non-English),3,3450000,null,9,Kingdom: Ashin of the North,2022-01-04,2021-08-08
TV (English),1,11560000,Lucifer: Season 1,10,Lucifer,2022-01-04,2021-09-19
TV (Non-English),3,9280000,Lupin: Part 2,7,Lupin,2022-01-04,2021-07-18
Films (Non-English),2,7360000,null,2,"My Brother, My Sister",2022-01-04,2021-10-17
TV (Non-English),2,14230000,Too Hot to Handle: Brazil: Season 1,6,Too Hot to Handle: Brazil,2022-01-04,2021-08-01
Films (English),1,16130000,null,1,Trollhunters: Rise of the Titans,2022-01-04,2021-07-25
TV (English),1,13450000,Cobra Kai: Season 1,8,Cobra Kai,2022-01-04,2022-01-02
TV (Non-English),1,25890000,Sintonia: Season 2,3,Sintonia,2022-01-04,2021-10-31
Films (Non-English),1,10650000,null,3,Green Snake,2022-01-04,2021-12-05
Films (English),1,24200000,null,1,Aftermath,2022-01-04,2021-08-08
Films (Non-English),1,2990000,null,5,STAND BY ME Doraemon 2,2022-01-04,2021-12-26
Films (Non-English),2,1470000,null,9,The Women and the Murderer,2022-01-04,2021-09-19
Films (Non-English),1,11610000,null,1,Yara,2022-01-04,2021-11-07
Films (Non-English),1,3340000,null,10,Shiny_Flakes: The Teenage Drug Lord,2022-01-04,2021-08-08
TV (English),1,36330000,Manifest: Season 1,3,Manifest,2022-01-04,2021-07-04
Films (English),5,5150000,null,9,Wish Dragon,2022-01-04,2021-08-08
Films (English),1,27440000,null,2,Tall Girl 2,2022-02-15,2022-02-13
TV (Non-English),7,10080000,"Nevertheless,: Season 1",9,"Nevertheless,",2022-01-04,2021-10-17
Films (Non-English),2,2660000,null,7,Nobody Sleeps in the Woods Tonight 2,2022-01-04,2021-11-07
TV (Non-English),1,12970000,SHAMAN KING: Season 1,3,SHAMAN KING,2022-01-04,2021-08-15
Films (Non-English),1,8730000,null,2,Outlaws,2022-01-04,2021-11-28
TV (Non-English),12,9320000,"Newly Rich, Newly Poor: Season 1",9,"Newly Rich, Newly Poor",2022-01-04,2021-09-19
Films (Non-English),1,3650000,null,6,Intervenção,2022-01-04,2022-01-02
TV (English),1,125770000,Sex Education: Season 3,1,Sex Education,2022-01-04,2021-09-19
Films (Non-English),4,2070000,null,8,Vicky and Her Mystery,2022-01-18,2022-01-16
Films (English),5,18010000,null,2,Red Notice,2022-01-04,2021-12-12
TV (English),12,10620000,Maid: Limited Series,7,Maid,2022-01-04,2021-12-19
Films (English),1,6580000,null,8,The Girl in the Spider's Web,2022-01-04,2021-11-07
TV (English),2,23200000,Lost in Space: Season 1,3,Lost in Space,2022-01-04,2021-12-12
TV (English),2,31740000,Too Hot to Handle: Season 3,5,Too Hot to Handle,2022-02-01,2022-01-30
TV (English),1,19340000,Cobra Kai: Season 2,10,Cobra Kai,2022-01-11,2022-01-09
Films (Non-English),1,3670000,null,8,Todos queremos a alguien,2022-03-01,2022-02-27
Films (Non-English),1,1260000,null,6,Ankahi Kahaniya,2022-01-04,2021-09-26
Films (Non-English),2,4440000,null,3,The Claus Family,2022-01-04,2021-11-14
Films (Non-English),1,4200000,null,5,Dhamaka,2022-01-04,2021-11-21
Films (English),3,12590000,null,2,The Guilty,2022-01-04,2021-10-17
TV (English),3,19310000,Good Girls: Season 4,4,Good Girls,2022-01-04,2021-09-19
TV (Non-English),8,65000000,Squid Game: Season 1,1,Squid Game,2022-01-04,2021-11-07
Films (English),1,16160000,null,3,Man on Fire,2022-01-04,2021-09-19
TV (Non-English),1,12600000,Love 101: Season 2,9,Love 101,2022-01-04,2021-10-03
Films (Non-English),2,52370000,null,1,Blood Red Sky,2022-01-04,2021-08-01
Films (Non-English),2,5680000,null,6,My Best Friend Anne Frank,2022-02-15,2022-02-13
Films (Non-English),1,12090000,null,2,Don't Kill Me,2022-03-01,2022-02-27
TV (Non-English),6,8490000,The Five Juanas: Season 1,7,The Five Juanas,2022-01-04,2021-11-14
Films (English),2,11140000,null,5,Single All The Way,2022-01-04,2021-12-12
TV (Non-English),2,23810000,Toy Boy: Season 2,3,Toy Boy,2022-02-22,2022-02-20
TV (English),2,87270000,Virgin River: Season 3,1,Virgin River,2022-01-04,2021-07-18
TV (Non-English),4,62130000,All of Us Are Dead: Season 1,1,All of Us Are Dead,2022-02-22,2022-02-20
TV (English),3,15260000,Cowboy Bebop: Season 1,9,Cowboy Bebop,2022-01-04,2021-12-05
Films (Non-English),2,10210000,null,2,Haseen Dillruba,2022-01-04,2021-07-11
TV (English),1,17030000,The Baby-Sitters Club: Season 2,9,The Baby-Sitters Club,2022-01-04,2021-10-17
TV (English),2,13100000,Sweet Tooth: Season 1,10,Sweet Tooth,2022-01-04,2021-07-11
Films (English),4,5680000,null,8,Kate,2022-01-04,2021-10-03
TV (English),1,17400000,Never Have I Ever: Season 1,5,Never Have I Ever,2022-01-04,2021-07-25
Films (English),1,13140000,null,2,The Last Letter From Your Lover,2022-01-04,2021-07-25
TV (Non-English),1,8370000,Love Never Lies: Season 1,9,Love Never Lies,2022-01-04,2021-11-21
TV (English),4,20300000,Outer Banks: Season 1,3,Outer Banks,2022-01-04,2021-08-22
Films (English),1,10580000,null,5,Good on Paper,2022-01-04,2021-07-04
Films (English),2,8130000,null,7,Grown Ups,2022-01-04,2021-10-03
TV (English),1,9510000,WWII in Color: Road to Victory: Season 1,7,WWII in Color: Road to Victory,2022-01-04,2021-12-26
Films (English),1,45340000,null,1,Brazen,2022-01-18,2022-01-16
Films (Non-English),2,12000000,null,1,Stuck Together,2022-01-04,2021-10-31
TV (English),5,28190000,Sex Education: Season 3,3,Sex Education,2022-01-04,2021-10-17
Films (English),2,10530000,null,7,Just Go With It,2022-01-11,2022-01-09
Films (English),4,4400000,null,8,The Guilty,2022-01-04,2021-10-24
TV (English),4,35020000,Clickbait: Limited Series,3,Clickbait,2022-01-04,2021-09-19
TV (Non-English),2,10790000,Forecasting Love and Weather: Season 1,7,Forecasting Love and Weather,2022-03-09,2022-03-06
TV (Non-English),1,9720000,Christmas Flow: Season 1,7,Christmas Flow,2022-01-04,2021-11-21
TV (Non-English),8,147950000,Money Heist: Part 5,1,Money Heist,2022-01-04,2021-12-12
TV (English),1,21350000,Sweet Tooth: Season 1,4,Sweet Tooth,2022-01-04,2021-07-04
TV (English),6,23460000,You: Season 3,5,You,2022-01-04,2021-11-21
TV (Non-English),3,8250000,Control Z: Season 2,10,Control Z,2022-01-04,2021-08-22
TV (Non-English),6,15920000,The King's Affection: Season 1,4,The King's Affection,2022-01-04,2021-11-28
Films (English),1,85860000,null,1,The Unforgivable,2022-01-04,2021-12-12
Films (Non-English),3,2420000,null,7,The Claus Family,2022-01-04,2021-11-21
TV (Non-English),2,7880000,"Nevertheless,: Season 1",9,"Nevertheless,",2022-01-04,2021-07-25
TV (English),2,24590000,Locke & Key: Season 1,8,Locke & Key,2022-01-04,2021-10-31
Films (English),8,5360000,null,10,Don't Look Up,2022-02-15,2022-02-13
TV (English),5,21620000,Sex/Life: Season 1,6,Sex/Life,2022-01-04,2021-08-01
TV (English),2,12680000,WWII in Color: Road to Victory: Season 1,10,WWII in Color: Road to Victory,2022-01-04,2022-01-02
Films (English),1,38780000,null,1,Kate,2022-01-04,2021-09-12
TV (English),1,11730000,Octonauts: Above & Beyond: Season 1,8,Octonauts: Above & Beyond,2022-01-04,2021-09-12
TV (English),1,62580000,Virgin River: Season 3,2,Virgin River,2022-01-04,2021-07-11
TV (English),3,12560000,Titans: Season 3,5,Titans,2022-01-04,2021-12-26
TV (Non-English),2,11620000,null,6,Carrossel,2022-01-04,2021-07-18
Films (English),2,5000000,null,8,Titanic,2022-01-04,2021-10-17
TV (Non-English),1,7340000,"Yo soy Betty, la fea: Season 1",10,"Yo soy Betty, la fea",2022-01-04,2021-08-29
TV (English),1,18680000,Grey's Anatomy: Season 17,5,Grey's Anatomy,2022-01-04,2021-10-03
Films (English),1,7770000,null,7,Noah,2022-01-04,2021-09-12
TV (English),4,20910000,You: Season 1,8,You,2022-01-04,2021-11-07
Films (English),3,13770000,null,5,The Harder They Fall,2022-01-04,2021-11-21
Films (Non-English),3,6550000,null,3,Rurouni Kenshin: The Beginning,2022-01-04,2021-08-15
Films (Non-English),2,6730000,null,4,STAND BY ME Doraemon 2,2022-01-04,2022-01-02
TV (English),1,11430000,CoComelon: Season 3,9,CoComelon,2022-01-04,2021-07-04
TV (English),1,26460000,Raising Dion: Season 1,6,Raising Dion,2022-02-08,2022-02-06
Films (Non-English),3,1860000,null,9,The 8th Night,2022-01-04,2021-07-18
TV (Non-English),1,11020000,Forecasting Love and Weather: Season 1,9,Forecasting Love and Weather,2022-03-01,2022-02-27
TV (Non-English),3,11920000,I Am Georgina: Season 1,8,I Am Georgina,2022-02-15,2022-02-13
Films (Non-English),3,1900000,null,10,Meenakshi Sundareshwar,2022-01-04,2021-11-21
Films (English),1,9840000,null,4,Final Score,2022-01-04,2021-10-31
TV (English),2,18140000,Sex Education: Season 2,7,Sex Education,2022-01-04,2021-10-03
TV (English),7,12190000,Sex/Life: Season 1,9,Sex/Life,2022-01-04,2021-08-15
TV (Non-English),1,9600000,Valeria: Season 2,9,Valeria,2022-01-04,2021-08-15
TV (Non-English),1,15150000,The Snitch Cartel: Origins: Season 1,5,The Snitch Cartel: Origins,2022-01-04,2021-08-01
TV (English),5,15060000,Dynasty: Season 4,7,Dynasty,2022-01-04,2021-11-21
Films (Non-English),1,2060000,null,5,The Women and the Murderer,2022-01-04,2021-09-12
TV (English),1,77010000,Ozark: Season 4 Part 1,1,Ozark,2022-01-25,2022-01-23
TV (English),2,195970000,Inventing Anna: Limited Series,1,Inventing Anna,2022-02-22,2022-02-20
TV (Non-English),4,14520000,The Queen of Flow: Season 1,6,The Queen of Flow,2022-01-04,2021-12-12
TV (English),1,15870000,Blood & Water: Season 2,8,Blood & Water,2022-01-04,2021-10-03
TV (Non-English),19,10200000,Squid Game: Season 1,8,Squid Game,2022-01-25,2022-01-23
Films (Non-English),1,5130000,null,4,The Guide to the Perfect Family,2022-01-04,2021-07-18
TV (English),3,11410000,Big Mouth: Season 5,10,Big Mouth,2022-01-04,2021-11-21
TV (Non-English),4,7710000,"Yo soy Betty, la fea: Season 1",10,"Yo soy Betty, la fea",2022-01-04,2021-11-07
Films (English),1,7650000,null,7,Warcraft,2022-01-04,2021-07-04
Films (English),1,6560000,null,10,Rust Creek,2022-01-04,2021-07-18
TV (English),3,17550000,Raising Dion: Season 2,5,Raising Dion,2022-02-22,2022-02-20
TV (Non-English),1,11510000,Somos.: Season 1,5,Somos.,2022-01-04,2021-07-04
TV (Non-English),1,10240000,Carinha de Anjo: Season 1,8,Carinha de Anjo,2022-01-04,2021-10-10
Films (Non-English),1,8740000,null,1,Friendzone,2022-01-04,2021-10-03
TV (Non-English),11,13820000,Hometown Cha-Cha-Cha: Season 1,3,Hometown Cha-Cha-Cha,2022-01-04,2021-11-14
Films (English),3,58200000,null,1,Don't Look Up,2022-01-11,2022-01-09
TV (English),5,14570000,You: Season 1,10,You,2022-01-04,2021-11-14
TV (Non-English),2,448730000,Squid Game: Season 1,1,Squid Game,2022-01-04,2021-09-26
TV (English),6,10560000,Dynasty: Season 4,10,Dynasty,2022-01-04,2021-11-28
TV (English),5,12410000,Manifest: Season 1,6,Manifest,2022-01-04,2021-08-29
Films (English),5,17130000,null,3,Don't Look Up,2022-01-25,2022-01-23
Films (Non-English),1,8140000,null,2,Grumpy Christmas,2022-01-04,2021-12-26
Films (English),4,6570000,null,9,Sweet Girl,2022-01-04,2021-09-12
TV (English),1,11460000,null,10,jeen-yuhs: A Kanye Trilogy,2022-03-01,2022-02-27
Films (English),1,8790000,null,7,John Wick: Chapter 3 - Parabellum,2022-01-04,2021-12-19
Films (Non-English),4,1150000,null,10,Beauty and the Beast,2022-01-04,2021-10-24
Films (Non-English),4,2190000,null,10,Kingdom: Ashin of the North,2022-01-04,2021-08-15
TV (English),3,42990000,Lucifer: Season 6,2,Lucifer,2022-01-04,2021-09-26
Films (English),1,13940000,null,4,Spider-Man: Into the Spider-Verse,2022-03-09,2022-03-06
Films (English),2,12350000,null,4,Fear Street Part 3: 1666,2022-01-04,2021-07-25
Films (English),2,23370000,null,4,Bruised,2022-01-04,2021-12-05
