category,cumulative_weeks_in_top_10,weekly_hours_viewed,season_title,weekly_rank,show_title,date_added,week
TV (Non-English),1,9980000,Hotel Del Luna: Season 1,10,Hotel Del Luna,2022-01-04,2021-09-12
Films (English),2,26410000,null,3,A Madea Homecoming,2022-03-09,2022-03-06
Films (English),4,21310000,null,2,The Unforgivable,2022-01-04,2022-01-02
TV (Non-English),2,23880000,Rebelde: Season 1,3,Rebelde,2022-01-18,2022-01-16
TV (English),1,35530000,Locke & Key: Season 2,4,Locke & Key,2022-01-04,2021-10-24
TV (Non-English),11,11210000,"Yo soy Betty, la fea: Season 1",10,"Yo soy Betty, la fea",2022-02-08,2022-02-06
TV (English),5,16730000,Lucifer: Season 6,7,Lucifer,2022-01-04,2021-10-10
Films (Non-English),2,2570000,null,6,Rurouni Kenshin: The Final,2022-01-04,2021-07-11
TV (English),2,28050000,You: Season 2,7,You,2022-01-04,2021-10-31
TV (Non-English),2,62890000,The Five Juanas: Season 1,2,The Five Juanas,2022-01-04,2021-10-17
Films (Non-English),5,1780000,null,10,Vicky and Her Mystery,2022-01-25,2022-01-23
TV (English),1,15050000,The Walking Dead: Season 10,9,The Walking Dead,2022-01-04,2021-08-01
TV (Non-English),1,15870000,Toy Boy: Season 2,6,Toy Boy,2022-02-15,2022-02-13
TV (English),2,59120000,Midnight Mass: Limited Series,3,Midnight Mass,2022-01-04,2021-10-03
Films (English),1,17290000,null,2,Schumacher,2022-01-04,2021-09-19
Films (Non-English),4,3630000,null,5,Rurouni Kenshin: The Beginning,2022-01-04,2021-08-22
Films (Non-English),3,1570000,null,5,Lost Bullet,2022-02-08,2022-02-06
Films (Non-English),1,26150000,null,1,Major Grom: Plague Doctor,2022-01-04,2021-07-11
Films (English),4,8220000,null,4,My Little Pony: A New Generation,2022-01-04,2021-10-17
Films (Non-English),1,10360000,null,3,The Stronghold,2022-01-04,2021-09-19
Films (Non-English),2,12020000,null,1,Anonymously Yours,2022-01-04,2021-12-19
Films (English),1,13780000,null,5,Father Christmas Is Back,2022-01-04,2021-11-14
Films (Non-English),1,7440000,null,2,Four to Dinner,2022-01-11,2022-01-09
TV (Non-English),7,12590000,Money Heist: Part 1,6,Money Heist,2022-01-04,2021-12-19
TV (English),1,100160000,Outer Banks: Season 2,1,Outer Banks,2022-01-04,2021-08-01
Films (English),4,5840000,null,8,Fear Street Part 2: 1978,2022-01-04,2021-08-01
TV (Non-English),1,43480000,Hellbound: Season 1,1,Hellbound,2022-01-04,2021-11-21
TV (Non-English),1,17410000,Juvenile Justice: Season 1,3,Juvenile Justice,2022-03-01,2022-02-27
TV (Non-English),1,7470000,EDENS ZERO: Season 1,9,EDENS ZERO,2022-01-04,2021-11-28
Films (English),2,10990000,null,4,Warcraft,2022-01-04,2021-07-11
Films (Non-English),4,6470000,null,4,Blood Red Sky,2022-01-04,2021-08-15
Films (English),1,6130000,null,9,Skylines,2022-01-04,2021-07-04
Films (English),7,4160000,null,10,Vivo,2022-01-04,2021-10-03
TV (English),4,79040000,Maid: Limited Series,2,Maid,2022-01-04,2021-10-24
TV (English),3,44630000,Ozark: Season 4 Part 1,4,Ozark,2022-02-08,2022-02-06
Films (English),4,3430000,null,10,Hotel Transylvania 3: Summer Vacation,2022-01-04,2021-10-24
TV (Non-English),2,11940000,Money Heist: Part 2,7,Money Heist,2022-01-04,2021-09-19
TV (English),3,21660000,You: Season 2,6,You,2022-01-04,2021-11-07
TV (English),13,8750000,Maid: Limited Series,10,Maid,2022-01-04,2021-12-26
TV (English),1,15710000,Locke & Key: Season 1,10,Locke & Key,2022-01-04,2021-10-24
TV (Non-English),3,36650000,The Cook of Castamar: Season 1,1,The Cook of Castamar,2022-01-04,2021-07-25
Films (English),1,9790000,null,5,Transformers: Revenge of the Fallen,2022-02-08,2022-02-06
TV (English),4,15520000,You: Season 2,9,You,2022-01-04,2021-11-14
TV (Non-English),1,13040000,Daughter From Another Mother: Season 2,7,Daughter From Another Mother,2022-01-04,2021-12-26
TV (Non-English),1,33240000,The Seven Deadly Sins: Dragon's Judgement,2,The Seven Deadly Sins,2022-01-04,2021-07-04
TV (English),3,11810000,The Cuphead Show!: Season 1,8,The Cuphead Show!,2022-03-09,2022-03-06
Films (Non-English),1,33250000,null,1,Through My Window,2022-02-08,2022-02-06
TV (Non-English),8,9950000,The Queen of Flow: Season 1,10,The Queen of Flow,2022-01-25,2022-01-23
Films (English),3,7170000,null,9,Despicable Me,2022-02-22,2022-02-20
TV (Non-English),10,27540000,Café con aroma de mujer: Season 1,2,Café con aroma de mujer,2022-03-09,2022-03-06
Films (English),1,6900000,null,8,The Girl Next Door,2022-01-04,2021-08-22
Films (Non-English),1,7100000,null,2,Sounds Like Love,2022-01-04,2021-10-03
Films (English),1,25680000,null,1,Fatherhood,2022-01-04,2021-07-04
Films (English),1,10120000,null,8,Trolls,2022-01-04,2021-11-21
TV (English),1,21540000,Ozark: Season 2,7,Ozark,2022-02-01,2022-01-30
TV (English),4,21020000,Dynasty: Season 4,6,Dynasty,2022-01-04,2021-11-14
Films (English),6,10250000,null,4,Don't Look Up,2022-02-01,2022-01-30
Films (English),2,16250000,null,5,The Princess Switch 3: Romancing the Star,2022-01-04,2021-11-28
Films (Non-English),1,2660000,null,8,Child of Kamiari Month,2022-02-15,2022-02-13
Films (English),2,23170000,null,3,Mother/Android,2022-01-18,2022-01-16
Films (English),3,8790000,null,5,Just Go With It,2022-01-18,2022-01-16
Films (Non-English),2,12380000,null,1,My Father's Violin,2022-02-01,2022-01-30
Films (English),3,8550000,null,7,Wish Dragon,2022-01-04,2021-07-18
Films (English),1,6460000,null,8,Fatale,2022-01-04,2021-07-04
Films (Non-English),2,10540000,null,1,The Whole Truth,2022-01-04,2021-12-12
Films (English),1,42810000,null,2,He's All That,2022-01-04,2021-08-29
TV (English),3,41240000,Cobra Kai: Season 4,2,Cobra Kai,2022-01-18,2022-01-16
TV (Non-English),1,11260000,Yeh Kaali Kaali Ankhein: Season 1,6,Yeh Kaali Kaali Ankhein,2022-01-25,2022-01-23
TV (Non-English),1,8580000,Control Z: Season 1,7,Control Z,2022-01-04,2021-08-08
TV (Non-English),11,11290000,Carinha de Anjo: Season 1,7,Carinha de Anjo,2022-01-04,2021-12-19
TV (English),2,30350000,Raising Dion: Season 2,3,Raising Dion,2022-02-15,2022-02-13
TV (English),3,18510000,The Good Doctor: Season 1,8,The Good Doctor,2022-01-04,2021-08-01
Films (English),2,74440000,null,1,The Unforgivable,2022-01-04,2021-12-19
Films (English),1,57160000,null,1,Sweet Girl,2022-01-04,2021-08-22
TV (Non-English),1,16260000,Ganglands: Season 1,4,Ganglands,2022-01-04,2021-09-26
Films (Non-English),2,4060000,null,7,A Classic Horror Story,2022-01-04,2021-07-25
